STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,agedef,Age definition,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2015,,64446,,b,break in time series,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2016,,116867,,b,break in time series,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2017,,112247,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2018,,119489,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2019,,129459,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2020,,84221,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2021,,57120,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2022,,96662,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EL,Greece,2023,,118816,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2012,,304053,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2013,,280772,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2014,,305454,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2015,,342114,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2016,,414746,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2017,,532132,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2018,,643684,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2019,,750480,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2020,,467918,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2021,,887960,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2022,,1258894,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,ES,Spain,2023,,1250991,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,EU27_2020,European Union - 27 countries (from 2020),2013,,2901962,,bep,"break in time series, estimated, provisional",,
